Ahal_ID,mRNA,H3K4me1,H3K4me2,H3K4me3,H4ac,H3K36me3,H3K27me3,H2AZ,H3K9me2,H3
g00920,,,,,,,,,,
g00921,,,,,,,,44,,
g00922,,,,,,,,,,
g00923,,,,,,,,,,4
g00924,,,,,,,,,,
g00925,,,,,,,21,,,
g00926,,,,,,,22,,,
g00927,,,,,,,,,,
g00928,,,,,,,,,,
g00929,4,,,,,,,5,,
g00930,,,,,,,,,,
g00931,,,,,,,,,,5
g00932,,,,,,,,,,4
g00933,,,,,,,,,,
g00934,,,,,11,,,,,
g00935,,,,,9,,,,,
g00936,,,8,,,9,,,,
g00937,,,,,35,,5,4,,
g00938,,,,,21,,,,,
g00939,,,,,,,,,,4
g00940,,,,,,,,,,
g00941,,,,,,,,,,
g00942,,,5,,,,,,,
g00943,,,,,,,,,,
g00944,,,,,,,,,,
g00945,,,,,,,,9,,
g00946,,,,,,,,,,
g00947,,,,,,,,,,
